	title	sentences	label	language	index
0	Gadamer, aesthetics and modernity	J’aborde ici la dimension exemplaire que revêt l’art pour l’herméneutique philosophique de Gadamer. Ce dernier souscrit sans doute à la thèse classiciste de Hegel selon laquelle l’art élève une prétention à la vérité qui a connu sa plus haute expression dans l’antiquité grecque, mais il refuse de concéder à Hegel qu’à l’époque moderne c’est désormais la philosophie qui assume cette prétention de manière privilégiée. Gadamer entend ainsi surmonter la perte de sens que connaît l’art à l’époque moderne, et il s’oppose à l’herméneutique romantique de Schleiermacher précisément pour cette raison. À l’encontre du diagnostic de Gadamer portant sur la subjectivisation de l’expérience artistique aux Temps Modernes, je fais intervenir W. Benjamin et sa compréhension du rôle constitutif de la « critique » dans l’art romantique pour faire contraste avec le modèle gadamérien d’accès à l’œuvre comme participation à un avènement de sens.	Gadamer , Hegel , Benjamin, Walter , Classicisme , Romantisme , Critique , Classicism , Romanticism	fr	24970.0
1	Rome en ses jardins : paysage et pouvoir au XVIe siècle	L'auteur revisite les rapports entre pays et paysage à la lumière d'une histoire de l'art d'orientation anthropologique centrée sur la notion de pouvoir et sur les enjeux sociaux du territoire.		fr	24959.0
2	La nucléation à partir de cristaux mixtes : une nouvelle approche pour augmenter la diversité polymorphique	Les composés qui existent sous de multiples formes cristallines sont qualifiés de polymorphiques. Les polymorphes ont la même composition, mais leurs structures et leurs propriétés peuvent varier significativement. Dans de nombreux domaines, les conditions de cristallisation des composés d’intérêt sont étudiées de façon exhaustive afin de générer autant de polymorphes que possible, à partir desquels le polymorphe le plus avantageux pour l’application souhaitée peut être sélectionné. Nous rapportons une nouvelle façon d’augmenter la diversité polymorphique basée sur la cristallisation induite par l’ensemencement à l’aide de cristaux mixtes. Nous rapportons également une nouvelle stratégie de cristallisation de composés fondus suspendus qui permet d’induire la formation de cristaux uniques qui sont trop instables pour être produits par des méthodes traditionnelles. Cette stratégie permet la résolution par diffraction des rayons X d’une plus large variété de structures cristallines. L’efficacité des méthodes présentées ci-dessus a été démontrée en les utilisant pour produire des cristaux uniques caractérisés par diffraction des rayons X de nouveaux polymorphes du composé ROY, une référence en matière de polymorphisme. Cela permet à ROY de regagner sa part de la position de composé le plus polymorphique dans la Cambridge Structural Database (CSD).	ROY , Polymorphisme , Polymorphe , Ensemencement , Cristaux , Nucléation , Cristallisation , Structure cristalline , Polymorphism , Polymorph , Seeding , Crystal , Crystallization , Crystalline structure , Chemistry - Organic / Chimie organique (UMI : 0490)	fr	24957.0
3	Recueil des résumés : 1er symposium étudiant de l’École de réadaptation de l’Université de Montréal : apprendre à communiquer la recherche pour en optimiser les retombées, En ligne, 3 septembre 2020	Le Symposium étudiant de l’École de réadaptation de l’Université de Montréal est un évènement scientifique organisé par des étudiantes et étudiants des programmes de maitrise et de doctorat en sciences de la réadaptation. Il est ouvert à tous les membres étudiants et stagiaires postdoctoraux de la communauté universitaire des sciences de la santé de l'Université de Montréal (ergothérapie, physiothérapie, sciences de la réadaptation, orthophonie, audiologie, nutrition, kinésiologie). La première édition, intitulée « Apprendre à communiquer la recherche pour en optimiser les retombées », a eu lieu en ligne le 3 septembre 2020. Au cours de cette demi- journée, 17 étudiantes et étudiants de deuxième ou troisième cycle ont présenté leurs travaux portant sur la réadaptation. Les communications étaient sous forme de présentations orales vulgarisées de 3 minutes. Une conférence sur la vulgarisation scientifique aux études supérieures a également été présentée par Christophe Alarie, kinésiologue et étudiant au doctorat en sciences de la réadaptation. Le symposium était organisé en collaboration avec la direction de l'École de réadaptation de l'Université de Montréal et a reçu un financement de la FAÉCUM, du FICSUM et du Fonds d’amélioration de la vie étudiante de l’Université de Montréal.	Réadaptation , Adaptation , Innovation , Vulgarisation scientifique	fr	24954.0
4	Normalisation des systèmes et équipements médicaux et informationnels	Un projet servant à paver le chemin pour la fusion du service génie biomédical au service informatique au sein d'un établissement public de santé. Ce projet inclut des processus pour normaliser l'inventaire du parc d'équipements biomédicaux de l'hôpital, pour le rehaussement de ces systèmes le cas échéant et pour bonifier la collaboration entre ces deux domaines qui tendent à se réunir au fil de l'avancement technologique.	Normalisation , Équipements médicaux , Systèmes d'informations	fr	24946.0
5	Au-delà de l’utilitarisme, vers une refondation des modèles de compétences informationnelles	Depuis une quarantaine d’années, l’extraordinaire bond technologique, médiatique et informationnel a bouleversé le rapport des individus aux objets de communication. Pour y faire face, plusieurs institutions du monde anglo-saxon ont appréhendé le sujet comme une nouvelle littératie à enseigner à l’usager·ère, particulièrement en termes d’habiletés. Depuis les années 1990, la recherche francophone a toutefois vu se développer le concept de culture informationnelle qui amène à interroger davantage le rapport individuel et collectif vis-à-vis de l’information. Quoique ces deux traditions conceptuelles mettent l’accent sur des enjeux différents, l’interdépendance des questions soulevées semble prise en compte dans de nouvelles modélisations. Au premier chef, la translittératie et, surtout, la métalittératie peuvent se présenter comme la pierre angulaire d’une refondation des compétences sur des bases qui fédéreraient les littératie et culture informationnelles.		fr	24933.0
6	Évaluation de la condition physique et mentale de l’aîné : développement et mise à l’essai d’une intervention de pratique réflexive	Les personnes âgées en centre d'hébergement et de soins de longue durée (CHSLD), en raison de leur état de santé souvent précaire, nécessitent un suivi clinique qui passe, entre autres, par l’évaluation de leur condition physique et mentale. Pourtant, plusieurs études démontrent que les infirmières n’évaluent pas suffisamment l'état de santé des personnes à leur charge. Parmi les stratégies identifiées dans les écrits pour renforcer l’évaluation de la condition physique et mentale effectuée par l’infirmière, la pratique réflexive (PR) a été retenue, car elle favorise le développement et l’amélioration des compétences professionnelles de l’infirmière qui œuvre auprès des aînés (Dubé et Ducharme, 2014a). Basée sur une combinaison du Modèle de réflexion structurée de Johns (2006) et sur la Méthode de réflexion de Goudreau, Pepin et Lavoie (2013), une intervention de PR a été développée et mise à l’essai, auprès d’un groupe d’infirmières en CHSLD. Cinq infirmières ont ainsi partagé une situation clinique vécue, en lien avec l’évaluation physique et mentale d’un résident, qu’elles ont trouvée difficile ou problématique. Par la suite, des interventions reconnues en lien avec le sujet présenté ont été discutées. De plus, chaque participante a bénéficié d’un accompagnement clinique dans l’unité de soins, sur un sujet d’évaluation physique ou mentale de son choix. Les infirmières ont apprécié avoir pu discuter de cas réels et se disent plus outillées pour faire face aux situations complexes de soins. D’ailleurs, elles recommanderaient les rencontres de PR à leurs collègues, suggérant ainsi le maintien de ces rencontres dans leur établissement.	Pratique réflexive , Évaluation de la condition physique et mentale , Aîné , Personne âgée , CHSLD , Soins de longue durée , Reflective practice , Physical and mental health assessment , Senior , Old people , Long term care	fr	24931.0
7	Identité et bien-être des adultes latino-américains en couple immigrants au Canada	Lors de l’immigration, les individus sont appelés à entrer en contact avec la nouvelle société et le rapport entre l’identité de la culture d’origine et celle de la culture d’accueil serait déterminant pour le bien-être de l’individu. Développer une cohérence entre les deux cultures, c’est-à-dire leur accorder une importance égale, est associé à un bien-être élevé. Cependant, malgré l’importance du phénomène de l’intégration identitaire, les recherches portant sur ce sujet l’ont considéré exclusivement comme étant une conséquence de la relation entre l’individu et la culture, sans jamais prendre en compte que les individus immigrent souvent en couple. La présente recherche visait à évaluer la relation entre l'intégration des identités culturelles, l'intégration de l'identité du partenaire dans le soi et le bien-être chez 239 individus latino-américains dans une relation de couple et ayant immigré au Canada. Plus particulièrement, cette recherche visait à déterminer si l’intégration de l’identité du partenaire dans le soi peut avoir un impact sur le bien-être des individus en couple lorsque ceux-ci intègrent leurs identités culturelles. Les données obtenues avec deux échelles différentes d’intégration identitaire (MULTIIS et IOS) ont révélé que plus un individu intègre ses identités culturelles, plus il intégrera l’identité de son partenaire dans le soi, ce qui l’amènera à ressentir plus de bien-être. Plus spécifiquement, cette étude a démontré que l’intégration des identités culturelles favorise l’intégration de l’identité du partenaire dans le soi qui, en retour, aura un impact positif sur le bien-être.	Identité , Bien-être , Immigration , Couples , Latino-américains	fr	24928.0
8	Wikidata pour la recherche	Fonctionnement de Wikidata et de sa gestion centralisée de métadonnées liées à de multiples bases de données. Exemples d'utilisation de Wikidata pour explorer et soutenir un projet de recherche, pour les identifiants pérennes de chercheur et pour la facilitation de la gestion de données de recherche. Discussion sur la robustesse de Wikidata (technique, gouvernance, sociale).	Wikidata , Ontologie , SPARQL , Identifiant pérenne , Gestion des données de recherche	fr	24926.0
9	La place du bonheur dans la doctrine de la vertu	Le lecteur de la Critique de la raison pratique risque d’être intrigué par le fait que Kant affirme dans l’Analytique que le bonheur ne doit jouer aucun rôle dans la motivation à agir selon la loi morale, alors que la Dialectique réintroduit de manière inopinée le thème du bonheur comme faisant l’objet d’une attente raisonnable de la part du sujet moral vertueux. Or, tant Fichte que Schopenhauer exprimeront des réserves face à ce geste de Kant. Dans cet article, je cherche à montrer que les trois explications habituellement fournies pour rendre plausible cette espérance en un bonheur proportionnel à la vertu sont sujettes à caution : 1) le dualisme ontologique (suprasensible/sensible), 2) le préjugé religieux de Kant (F. Schroeter) et 3) une concession faite par Kant à la faiblesse de la nature humaine (L. W. Beck). J’avance alors une autre explication, fondée sur la conception kantienne de la raison pratique.	Kant , Fichte , Schopenhauer , Souverain bien , Bonheur , Salaire , Remuneratio gratuita , Highest good , Happiness , Salary	fr	24913.0
10	Entre la philosophie et la science : le reconstructionnisme hermeneutique de J. Habermas	Cet article traite du déplacement théorique opéré par Habermas entre Connaissance et intérêt (1968) et la Théorie de l’agir communicationnel (1981). Connaissance et intérêt présentait un double volet théorique correspondant au couple « théorie traditionnelle et théorie critique » : 1- une description des intérêts de connaissance conçus comme invariants anthropologiques (les intérêts technique et pratique), et 2- une reprise du concept de « critique » propre à l’École de Francfort selon lequel la théorie est autoréférentielle au sens où elle doit être strictement contextualisée et viser la mise au jour de déterminations inaperçues. Ici, l’intérêt est émancipatoire et la psychanalyse en est une illustration. Connaissance et intérêt procédait donc à une répartition asymétrique des intérêts de connaissance en vertu de ces deux approches théoriques distinctes. Or, le passage à la théorie de l’agir communicationnel maintiendra ces deux approches, de façon renouvelée toutefois, conformément aux deux fonctions contenues dans la nouvelle définition du rôle de la philosophie : 1- « Platzhalter » et 2- « Interpret ».	Habermas , Philosophie , Théorie traditionnelle , Théorie critique , Intérêts de connaissance , Agir communicationnel	fr	24912.0
11	Effet de la musique sur le stress chez des athlètes avec et sans commotions cérébrales	Les commotions cérébrales d’origine sportive préoccupent de plus en plus les experts; entre 20 à 40 % des athlètes subissent une commotion cérébrale chaque année au Québec. Parmi les nombreux impacts néfastes, les symptômes affectifs (p. ex., le stress et l’anxiété) font partie des complications les plus fréquentes. Ainsi, il est important de développer des techniques de gestion du stress adaptées au mode de vie des athlètes. En ce sens, la musique a été démontrée efficace pour réduire le stress, dû à ses propriétés relaxante et agréable. L’objectif de cette étude est d’explorer les effets de l’écoute musicale sur le stress induit expérimentalement chez les athlètes commotionnés et non commotionnés. Pour ce faire, quatre groupes d’athlètes (non commotionné musique, non commotionné silence, commotionné musique, commotionné silence) ont effectué le Test de stress social de Trier alors que des mesures autorapportées de stress ont été prises. Les résultats ne montrent pas de différence significative dans le patron de récupération du stress entre les groupes ayant écouté ou non de la musique. Cependant, il est intéressant de constater que les groupes d’athlètes ayant écouté de la musique durant la phase de récupération montrent un niveau de stress final inférieur à leur niveau de base. Par ailleurs, aucune différence n’a été observée entre les groupes d’athlètes avec et sans commotion cérébrale lors de l’induction et de la récupération du stress. Des recherches futures sont nécessaires afin d’approfondir ces résultats et de mieux comprendre comment la musique peut être utilisée comme outils aidant à réduire le stress dans le domaine sportif.	Commotion cérébrale d'origine sportive , Stress , Musique , Neuropsychologie clinique , Athlètes , Sport-related concussion , Athletes , Music , Clinical neuropsychology , Intervention musicale , Musical intervention	fr	24909.0
12	La catégorisation visuelle des lettres et les habiletés de lecture chez l’enfant	L’identification des lettres est un processus de catégorisation ; une large variété de stimuli visuels est regroupée en 26 catégories distinctes. La lecture de mots dépendrait du traitement de l’identité des lettres, indépendamment de leurs formes visuelles. Certaines évidences suggèrent une perception catégorielle des lettres chez l’adulte lettré. Toutefois, le lien entre la catégorisation visuelle des lettres et la lecture demeure peu étudié. La présente étude a employé un paradigme de perception catégorielle (étude de cas des lettres b-d) afin d’explorer si la perception des lettres est catégorielle chez l’enfant, et si une telle perception serait liée aux habiletés de lecture. Les résultats indiquent que les enfants perçoivent les lettres b et d de façon catégorielle, suggérant que leurs représentations abstraites des lettres influencent leur perception, et que celles-ci sont liées aux habiletés de lecture de mots irréguliers, mais non de pseudo-mots. Cette étude soutient l’importance de représentations abstraites des lettres en lecture, permettant de mieux comprendre les processus impliqués en lecture.	Lecture , Perception catégorielle , Identité abstraite des lettres , Enfance , Neuropsychologie clinique , Reading , Categorical perception , Abstract letter identity , Children , Clinical neuropsychology	fr	24908.0
13	De Max Weber à Heidegger : l'historiographie comme liquidation méthodique de l'histoire	Il peut paraître audacieux d’effectuer un rapprochement entre deux intellectuels aussi différents que Max Weber et Martin Heidegger, et ce même à propos de cette préoccupation commune qu’ils ont pour l’histoire. Weber aborde en vérité la question du point de vue de la méthodologie des sciences humaines, refusant de s’aventurer sur le terrain de la philosophie, alors que Heidegger traite de l’historialité dans le cadre d’une ontologie phénoménologique gravitant autour de la question de l’être. Mais c’est l’accent qu’ils mettent tous deux sur le concept de « possibilité » en histoire qui autorise le rapprochement, comme nous allons le voir.	Weber, Max , Heidegger, Martin , Histoire , Possibilité , Avenir , Futur passé , History , Possibility , Future past	fr	24902.0
